ObjectId,Country,ISO2,ISO3,Indicator,Code,Unit,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
46,"Congo, Dem. Rep. of the",CD,COD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.012,-0.158,-0.04,-0.115,-0.194,0.116,-0.125,-0.164,0.132,0.209,-0.161,0.059,0.452,-0.09,-0.107,-0.169,0.305,0.16,0.477,0.36,0.122,0.13,0.458,0.14,0.083,0.253,0.553,0.464,-0.09,0.211,0.445,-0.038,0.212,0.356,0.462,0.036,0.747,0.95,0.368,0.532,0.39,0.842,0.882,0.915,1.081,0.846,0.762,0.625,0.877,1.293,0.756,0.616,0.912,0.86,0.966,1.454,1.19,1.34,1.325,1.559
47,"Congo, Rep. of",CG,COG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.154,-0.028,0.136,-0.117,-0.17,0.122,-0.121,-0.11,0.116,0.148,-0.096,-0.07,0.481,-0.095,-0.153,-0.265,0.226,0.1,0.406,0.28,-0.193,-0.208,0.259,0.181,-0.195,0.038,0.452,0.262,-0.216,0.112,0.291,-0.152,0.061,0.36,0.601,0.078,,1.087,0.659,0.442,0.373,0.767,0.868,0.859,0.802,0.708,0.764,0.727,0.783,1.219,0.595,0.606,0.782,0.694,1.02,1.481,1.155,1.181,1.313,1.413
48,Cook Islands,CK,COK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.115,-0.076,-0.108,0.15,-0.386,0.022,-0.312,-0.356,-0.022,0.222,-0.104,-0.056,0.501,-0.111,-0.172,-0.208,0.193,0.147,0.168,0.299,0.161,0.112,0.281,0.125,0.143,0.368,0.138,0.481,0.277,0.306,0.437,0.435,0.193,0.269,0.522,0.404,0.266,,0.874,0.539,0.624,0.512,0.467,0.493,0.365,0.564,0.594,0.458,0.312,0.732,0.58,0.301,0.508,,,,1.186,0.748,0.73,0.784
49,Costa Rica,CR,CRI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,-0.45,0.207,0.211,-0.256,-0.304,0.087,0.293,0.094,0.065,0.344,0.076,0.337,0.923,-0.158,-0.219,,0.521,0.032,-0.11,0.374,0.461,0.333,0.207,0.191,0.271,-0.194,0.661,0.939,-0.37,-0.185,0.454,0.507,0.724,0.653,0.582,0.52,0.704,0.245,0.905,0.968,0.471,0.264,0.712,0.612,0.972,0.937,0.731,1.18,1.394,1.458
50,"Croatia, Rep. of",HR,HRV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.843,0.417,1.733,0.447,-0.011,0.323,1.166,0.713,1.63,1.612,1.276,1.292,0.684,0.31,0.74,2.006,1.481,1.524,0.889,1.283,1.872,1.294,2.076,1.973,1.883,1.601,2.363,2.214,2.111
51,Cuba,CU,CUB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.122,-0.114,-0.223,0.07,0.041,-0.294,-0.221,-0.304,0.049,-0.344,0.097,0.457,0.412,0.083,0.536,-0.177,0.153,0.056,0.339,0.487,-0.014,0.578,0.302,0.292,0.226,0.354,0.735,0.588,0.673,0.836,0.889,0.601,0.627,0.997,1.047,0.205,0.794,1.022,0.718,0.538,0.521,0.848,0.912,0.653,0.609,0.742,0.769,0.496,0.842,0.53,0.394,0.455,0.701,0.887,1.142,1.203,1.339,1.157,1.601,1.631
52,Cyprus,CY,CYP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.022,0.746,0.699,-0.615,-0.203,0.653,-0.761,-0.008,0.184,0.517,-0.182,-0.526,-0.293,-0.14,-0.178,-0.683,0.146,-0.01,0.628,-0.286,0.108,-0.312,-0.785,0.02,-0.061,0.253,-0.267,0.038,0.116,0.09,0.379,-0.924,-0.423,1.076,0.095,0.288,0.037,0.984,1.118,0.671,1.218,0.888,0.648,0.684,0.414,0.697,0.881,1.101,1.055,2.069,0.758,1.008,1.279,1.103,1.254,1.628,0.916,2.236,1.643,1.795
53,Czech Rep.,CZ,CZE,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306,1.818,1.058,-0.588,0.155,1.272,1.13,1.929,1.246,1.549,1.101,0.842,0.771,0.974,2.19,1.669,1.449,0.438,1.067,1.608,0.806,2.518,2.132,2.089,1.609,2.665,2.556,2.357
54,Denmark,DK,DNK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,1.124,-0.637,-1.012,-0.275,-0.602,-0.502,0.828,0.276,-0.136,-1.207,0.259,0.284,0.666,0.578,1.329,0.295,-0.02,0.141,-1.193,-0.443,0.297,-0.001,1.058,0.381,-0.999,-0.435,-0.98,0.924,1.794,1.832,0.613,1.447,0.224,0.966,1.305,-0.747,0.655,0.865,1.335,1.716,1.04,1.647,0.711,1.04,1.29,1.356,2.143,1.866,1.333,-0.185,0.693,1.15,0.408,2.688,1.524,1.856,1.624,2.113,2.186,2.622
55,Djibouti,DJ,DJI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.112,-0.219,0.032,-0.299,-0.432,-0.002,-0.475,-0.515,0.158,0.019,-0.268,0.119,0.713,-0.094,0.229,0.04,0.297,0.316,0.245,0.881,0.227,0.311,0.451,0.044,0.194,0.063,0.343,0.709,0.019,0.653,0.602,0.572,0.429,0.396,0.763,0.869,0.763,1.067,0.528,0.943,0.893,1.472,1.312,1.03,1.291,0.977,0.953,0.389,1.58,1.113,0.984,,1.293,1.153,1.638,1.401,1.676,1.024,1.255,
56,Dominica,DM,DMA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.078,0.112,0.222,0.04,-0.311,0.089,-0.255,-0.22,0.378,0.131,-0.242,-0.097,0.155,-0.411,-0.426,-0.454,0.07,0.109,0.22,0.409,0.459,0.135,0.468,-0.035,-0.059,-0.005,0.565,0.361,-0.134,0.246,0.321,0.262,0.388,0.481,0.591,0.365,0.558,0.98,0.408,0.149,0.395,0.522,0.609,0.314,0.638,0.531,0.65,0.169,0.367,1.033,0.425,0.526,0.519,0.475,0.712,0.864,0.621,0.421,0.579,0.87
57,Dominican Rep.,DO,DOM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.054,-0.039,0.009,0.201,-0.305,0.013,-0.208,-0.216,0.289,-0.061,-0.334,-0.084,0.3,-0.396,-0.035,-0.378,0.317,0.34,0.201,0.653,0.483,0.291,0.628,0.19,0.034,0.14,0.667,0.426,0.069,0.482,0.32,0.153,0.28,0.7,0.786,0.553,0.819,1.216,0.743,0.498,0.795,0.871,1.054,0.641,0.829,0.839,1.022,0.482,0.622,1.144,0.469,0.713,0.973,0.984,1.192,1.11,0.851,0.97,1.115,1.333
58,Ecuador,EC,ECU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.225,-0.317,-0.153,-0.287,0.205,0.011,-0.51,-0.41,0.375,-0.163,-0.56,0.456,0.02,-0.357,-0.511,0.151,0.294,0.195,0.444,0.428,-0.019,0.507,1.161,-0.105,-0.244,0.029,0.917,0.236,-0.067,0.483,0.472,0.791,0.517,0.273,0.694,0.029,1.002,1.185,0.189,0.215,0.428,0.727,0.756,0.718,0.708,0.68,0.684,0.542,0.795,0.652,0.542,0.554,0.335,0.962,1.403,1.39,0.963,0.966,1.174,1.214
59,"Egypt, Arab Rep. of",EG,EGY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.258,0.634,0.638,-0.367,-0.077,0.474,-0.667,-0.104,0.437,-0.088,-0.234,0.007,-0.279,-0.119,-0.483,-0.262,-0.119,-0.265,0.589,-0.087,-0.234,-0.319,-1.026,-0.161,0.284,0.165,-0.293,0.27,-0.13,-0.063,0.438,-0.576,0.025,0.62,0.156,0.391,0.022,0.748,0.851,0.082,0.722,0.838,0.73,0.643,0.517,0.745,0.623,0.953,0.954,2.348,0.653,0.952,1.069,1.263,1.219,1.38,0.626,2.053,1.058,1.091
60,El Salvador,SV,SLV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.018,-0.107,-0.171,-0.071,-0.084,0.051,-0.455,-0.306,0.324,-0.028,-0.289,0.359,0.38,-0.306,0.051,-0.164,0.438,0.162,0.403,0.388,0.056,0.394,0.742,0.085,0.164,0.25,0.698,0.494,0.285,0.578,0.564,0.542,0.288,0.715,0.636,0.183,0.859,0.939,0.339,0.033,0.482,0.68,0.875,0.747,0.684,0.652,0.664,0.434,0.998,0.659,0.663,0.769,0.754,0.718,1.337,1.297,0.75,0.803,0.996,1.726
61,"Equatorial Guinea, Rep. of",GQ,GNQ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.119,-0.035,0.261,-0.128,-0.139,0.154,-0.048,-0.057,0.091,0.219,-0.144,-0.102,0.428,-0.188,-0.219,-0.365,0.174,0.091,0.359,0.314,0.115,-0.058,0.132,0.248,0.021,-0.074,0.401,0.28,-0.001,0.135,,-0.204,0.099,0.299,0.921,0.466,,1.029,0.547,0.353,0.354,0.623,0.908,0.756,0.752,0.576,0.762,0.612,0.703,0.915,0.585,0.514,0.724,0.892,0.849,1.458,1.338,0.685,1.522,1.433
62,"Eritrea, The State of",ER,ERI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,0.322,0.46,0.815,0.549,0.484,1.07,0.647,1.116,0.78,0.921,0.238,1.075,1.736,1.615,1.421,1.437,1.172,0.889,1.777,1.054,1.409,0.981,0.796,
63,"Estonia, Rep. of",EE,EST,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.599,0.546,0.351,1.735,-0.368,0.92,0.526,1.509,2.049,1.824,1.472,0.229,1.179,1.587,1.239,2.245,2.587,1.595,0.521,1.276,1.449,1.155,2.407,2.355,1.89,1.475,2.386,2.178,3.596
64,"Eswatini, Kingdom of",SZ,SWZ,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.264,0.421,-0.217,0.012,-0.238,0.278,-0.27,-0.408,0.401,0.533,0.039,-0.335,0.125,-0.251,-0.383,-0.46,0.288,0.197,0.23,-0.136,-0.41,0.177,0.929,-0.02,0.537,0.281,0.523,0.585,0.126,0.254,0.484,1.106,0.704,-0.038,0.546,-0.104,0.193,0.892,0.352,-0.235,0.383,0.344,0.376,0.233,0.849,0.05,0.764,0.351,0.161,0.967,0.839,0.341,0.273,0.387,0.781,0.867,0.383,0.842,1.341,0.273
65,"Ethiopia, The Federal Dem. Rep. of",ET,ETH,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244,0.599,0.815,0.775,0.713,0.806,0.314,0.572,0.732,1.094,1.109,0.874,1.119,0.971,0.847,0.756,1.336,1.259,1.137,1.059,1.208,1.149,1.395,1.494,1.464,0.944,1.362,1.358
66,Falkland Islands (Malvinas),FK,FLK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.351,0.401,-0.286,-0.082,0.178,-0.606,0.011,0.286,-0.348,0.203,-0.223,-0.505,0.219,0.211,0.128,-0.223,-0.089,0.228,0.644,0.186,0.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Faroe Islands,FO,FRO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.633,-0.477,-0.053,0.481,-0.351,-0.39,-0.117,-0.248,-0.342,-0.508,0.247,0.675,-0.047,0.503,-0.022,0.51,-0.314,-0.12,-0.886,0.015,-0.4,0.175,-0.327,0.418,-0.2,-0.219,0.116,0.18,0.401,0.652,0.952,0.644,0.039,-0.073,-0.219,0.28,0.823,0.607,0.509,0.214,0.474,1.045,1.614,1.029,0.49,1.137,0.953,0.889,1.441,0.257,1.053,0.359,0.594,1.763,0.81,0.8,1.486,0.826,0.871,0.832
68,"Fiji, Rep. of",FJ,FJI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.268,-0.046,-0.009,0.227,-0.604,-0.256,-0.249,-0.058,-0.058,0.154,0.114,-0.248,0.413,0.172,0.184,0.005,-0.138,-0.114,0.009,0.004,0.013,-0.003,-0.057,0.223,0.169,-0.321,-0.054,0.548,-0.021,0.072,-0.049,-0.037,-0.437,-0.257,0.285,0.425,0.169,0.755,0.535,0.618,0.656,0.639,0.539,0.43,0.591,0.59,0.877,0.469,0.239,0.782,0.766,0.458,0.848,0.696,0.616,1.086,1.273,1.058,0.969,1.178
69,Finland,FI,FIN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,1.896,-0.34,-0.405,0.334,-0.257,-1.796,1.091,-1.629,-0.472,-0.623,-0.445,0.942,1.148,1.129,1.903,-0.865,-0.215,-0.515,-0.743,-0.367,-0.227,-0.14,0.98,0.775,-1.157,-0.165,-1.636,0.601,2.201,1.274,1.159,1.187,0.96,0.167,1.724,0.158,0.806,0.092,1.179,2.046,1.386,1.19,0.732,1.25,2.22,1.221,1.965,2.153,1.709,0.255,1.369,1.559,1.439,2.609,2.629,2.167,1.504,2.17,1.471,3.337
70,France,FR,FRA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.83,-0.303,-0.952,0.028,-0.625,0.423,0.497,-0.074,0.017,-0.099,-0.165,-0.331,0.053,-0.09,0.471,0.354,0.008,-0.223,-0.194,-0.226,0.082,0.797,0.702,-0.099,-0.354,-0.02,-0.014,0.759,1.262,1.567,0.23,0.632,0.301,1.523,1.299,0.163,1.213,0.913,1.167,1.143,1.362,1.023,1.771,0.945,0.998,1.28,1.376,0.959,1.174,0.353,1.492,1.178,0.671,1.999,1.558,1.738,1.743,2.006,1.956,2.478
71,French Polynesia,PF,PYF,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.141,-0.113,-0.027,-0.195,-0.118,0.067,-0.29,-0.525,0.304,0.231,-0.259,0.177,0.366,-0.274,-0.172,-0.198,0.248,-0.061,0.11,0.218,0.106,0.271,0.09,0.254,-0.006,0.116,0.303,0.214,0.051,0.285,0.244,0.238,0.029,0.422,0.441,0.019,0.177,0.487,0.311,0.188,0.362,0.661,0.565,0.395,0.538,0.696,0.71,0.208,0.653,0.617,0.072,0.579,0.392,0.449,0.51,0.946,0.679,0.404,0.627,0.588
72,Gabon,GA,GAB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.124,-0.02,0.276,-0.117,-0.137,0.174,-0.092,-0.113,0.115,0.124,-0.093,-0.118,0.429,-0.12,-0.177,-0.386,0.171,0.079,0.377,0.289,-0.165,-0.358,0.115,0.143,-0.222,-0.141,0.272,0.191,-0.03,0.115,0.106,-0.168,0.138,0.205,0.599,0.13,0.318,1.111,0.566,0.293,0.257,0.647,0.868,0.764,0.719,0.682,0.853,0.738,0.744,0.959,0.529,0.511,0.81,0.791,0.893,1.417,1.392,0.896,1.554,1.433
73,"Gambia, The",GM,GMB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.138,-0.039,0.122,-0.18,-0.452,-0.081,-0.4,-0.586,0.83,0.384,-0.046,0.326,0.694,-0.214,-0.147,-0.049,0.522,0.428,0.614,0.807,0.647,0.394,1.196,0.683,0.432,0.708,1.113,0.964,0.807,1.332,1.018,1.06,1.262,0.944,1.055,1.281,1.516,1.764,0.957,1.126,1.411,1.531,1.202,1.228,1.632,1.367,1.249,1.506,0.873,1.48,1.228,1.095,1.202,1.465,1.516,1.917,2.033,1.317,1.63,2.05
74,Georgia,GE,GEO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.167,-1.227,0.453,0.746,0.196,0.284,1.259,1.241,0.973,1.288,1.038,-0.251,0.89,0.536,1.258,0.858,0.628,0.616,2.344,0.349,1.167,1.339,1.229,1.727,1.318,0.788,2.476,1.68,1.923
75,Germany,DE,DEU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.99,-0.751,-1.085,-0.33,-0.815,0.406,0.867,0.203,-0.111,-0.832,0.032,-0.014,0.189,0.319,1.099,0.468,0.28,-0.176,-0.642,-0.187,0.295,0.437,1.068,-0.113,-0.802,-0.007,-0.559,0.893,1.491,1.573,0.287,1.228,0.312,1.625,1.308,-0.698,0.559,1.152,1.366,1.762,1.29,1.488,1.259,1.001,1.028,1.26,2.093,1.545,1.284,0.196,1.12,1.35,0.584,2.516,1.673,1.985,1.651,2.395,2.335,2.521
76,Ghana,GH,GHA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.071,-0.143,0.135,-0.149,-0.139,0.068,-0.203,-0.128,0.301,0.302,-0.127,0.056,0.603,0.027,-0.2,-0.328,0.316,0.099,0.592,0.476,0.204,0.192,0.722,0.685,0.375,0.318,0.985,0.687,0.251,0.539,0.405,0.159,0.503,0.591,0.761,0.726,0.544,1.193,0.625,0.479,0.612,0.871,1.038,0.794,1.019,1.039,1.015,0.767,0.941,1.322,0.929,0.657,0.89,0.919,1.224,1.328,1.405,1.173,1.389,1.355
77,Gibraltar,GI,GIB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.567,0.517,0.048,0.488,-0.063,0.251,-0.12,-0.014,-0.352,-0.093,-0.855,-0.912,-0.2,-0.414,-0.203,-0.49,-0.143,0.212,0.388,0.3,0.355,0.474,0.366,-0.158,0.579,0.224,0.489,0.778,0.918,1.207,0.124,0.197,-0.093,0.77,1.344,0.771,1.469,1.117,0.73,0.843,1.299,0.883,1.424,1.056,0.873,1.457,0.844,0.978,1.27,1.341,1.679,0.992,0.913,1.507,1.442,1.799,2.089,0.799,1.351,1.992
78,Greece,GR,GRC,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.493,0.621,0.3,-0.308,-0.328,0.782,-0.201,0.187,-0.079,0.275,-0.223,-0.182,-0.362,-0.194,-0.251,-0.907,0.342,-0.542,0.201,-0.36,-0.169,-0.215,-0.464,-0.093,-0.03,0.341,-0.363,0.162,-0.173,0.388,-0.174,-0.5,-0.292,1.099,-0.001,-0.127,-0.169,0.654,0.824,0.697,1.334,0.465,0.409,0.349,0.222,0.272,1.084,0.88,0.765,1.567,0.389,1.23,1.329,1.073,0.911,1.576,0.657,1.948,1.503,1.447
79,Greenland,GL,GRL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.285,0.849,0.316,0.265,0.806,-0.209,-0.372,-0.266,-0.258,-0.231,-0.792,-0.85,-0.995,0.296,-1.103,-0.267,0.749,-0.693,0.487,0.906,-0.378,-0.657,-2.076,-1.47,0.875,0.364,-0.138,0.488,-1.512,-0.376,-0.327,-1.256,-1.371,-0.442,-0.345,0.652,0.371,1.253,0.503,0.824,0.818,1.173,2.314,1.454,1.866,1.707,1.35,0.941,0.832,3.039,1.672,1.612,1.363,1.419,0.184,2.346,1.184,0.912,2.211,1.325
80,Grenada,GD,GRD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.12,0.046,0.287,-0.081,-0.23,0.021,-0.277,-0.19,0.447,0.232,-0.349,-0.151,0.063,-0.46,-0.414,-0.151,-0.015,0.134,0.336,0.296,0.365,0.13,0.406,0.016,-0.378,-0.1,0.51,0.521,-0.089,0.133,0.271,0.303,0.372,0.378,0.595,0.344,0.436,0.988,0.445,0.24,0.466,0.421,0.746,0.34,0.866,0.575,0.515,0.383,0.403,1.132,0.645,0.489,0.595,0.51,0.704,0.802,0.748,0.333,0.566,0.823
81,Guadeloupe,GP,GLP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.011,0.047,0.216,0.09,-0.339,0.085,-0.225,-0.271,0.325,0.083,-0.287,-0.134,0.18,-0.379,-0.385,-0.454,0.127,0.109,0.1,0.577,0.502,0.123,0.478,0.009,-0.066,-0.031,0.537,0.36,-0.136,0.255,0.289,0.233,0.375,0.442,0.526,0.287,0.46,0.979,0.435,0.136,0.434,0.544,0.678,0.346,0.648,0.468,0.673,0.157,0.389,0.974,0.371,0.504,0.558,0.544,0.803,0.916,0.666,0.486,0.694,1.039
82,Guatemala,GT,GTM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.003,-0.077,-0.09,-0.068,-0.09,-0.097,-0.39,-0.359,0.396,-0.085,-0.101,0.437,0.479,-0.289,0.178,-0.351,0.25,0.168,0.34,0.463,-0.004,0.484,0.68,0.135,0.177,0.141,0.37,0.509,0.21,0.412,0.666,0.481,0.378,0.654,0.675,0.17,0.785,0.962,0.661,0.383,0.455,0.702,0.887,0.62,0.778,0.567,0.732,0.417,1.021,0.715,0.701,0.512,0.684,0.602,1.184,1.386,1.029,0.865,1.408,1.714
83,"Guiana, French",GF,GUF,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.157,-0.102,-0.078,-0.089,-0.166,0.141,-0.189,-0.198,0.45,0.223,-0.382,-0.095,0.118,-0.388,-0.326,-0.146,0.085,0.093,0.263,0.336,0.36,0.225,0.648,-0.04,0.045,0.202,0.736,0.524,0.07,0.351,0.376,0.498,0.446,0.411,0.833,0.559,0.685,1.414,0.67,0.578,0.652,0.819,0.954,0.96,1.439,0.933,1.242,0.991,1.376,1.583,1.158,1.162,1.404,1.451,1.654,2.074,1.798,1.538,1.855,1.964
84,Guinea,GN,GIN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.131,-0.137,0.16,-0.173,-0.115,0.01,-0.23,-0.176,0.443,0.344,-0.132,0.199,0.573,-0.076,-0.258,-0.264,0.21,0.204,0.511,0.639,0.342,0.233,0.655,0.387,0.406,0.107,0.82,0.625,0.141,0.705,0.773,0.426,0.793,0.62,0.682,0.957,0.875,1.213,0.567,0.686,0.962,1.308,1.235,1.256,1.37,1.32,1.184,1.311,1.139,1.543,1.265,0.722,1.305,1.181,1.432,1.442,1.807,1.53,1.797,1.683
85,Guinea-Bissau,GW,GNB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.137,-0.076,0.145,-0.22,-0.37,-0.039,-0.286,-0.467,0.722,0.324,-0.053,0.277,0.59,-0.148,-0.169,-0.098,0.399,0.316,0.497,0.656,0.49,0.404,1.03,0.578,0.422,0.548,0.878,0.796,0.63,1.183,1.069,0.978,1.183,0.929,1.016,1.161,1.355,1.772,0.978,1.179,1.415,1.51,1.236,1.306,1.64,1.428,1.333,1.626,1.165,1.643,1.413,1.179,1.458,1.689,1.722,2.038,2.171,1.618,1.939,2.2
86,Guyana,GY,GUY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.014,-0.079,-0.136,0.204,-0.129,0.231,-0.196,-0.22,0.484,0.416,-0.464,0.027,0.117,-0.359,-0.273,-0.371,0.111,0.014,0.335,0.368,0.516,0.385,0.561,-0.295,-0.361,0.08,0.544,0.432,-0.028,0.513,0.442,0.118,0.351,0.518,0.932,0.559,0.682,1.284,0.462,0.55,0.691,0.79,1.202,0.998,1.099,0.932,0.914,0.731,1.249,1.153,0.809,0.902,0.953,1.297,1.589,1.64,1.307,1.411,1.301,1.499
87,Haiti,HT,HTI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.104,-0.087,-0.157,0.262,-0.285,-0.003,-0.167,-0.267,0.168,-0.122,-0.067,0.105,0.49,-0.226,0.426,-0.421,0.361,0.156,0.11,0.552,0.4,0.456,0.584,0.316,0.127,0.252,0.86,0.681,0.366,0.744,0.727,0.442,0.371,1.078,0.889,0.363,1.078,1.127,1.177,0.825,0.627,0.854,1.163,0.83,1.004,0.825,1.024,0.663,0.779,1.028,0.436,0.742,0.971,1.193,1.256,1.189,0.985,1.106,1.356,1.284
88,Holy See,VA,VAT,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,0.682,0.051,-0.172,0.176,-0.414,0.264,0.166,0.047,0.027,-0.122,-0.222,-0.145,0.043,-0.221,-0.168,-0.411,0.322,-0.586,0.107,-0.538,-0.455,0.579,0.222,-0.535,0.292,0.626,0.202,0.763,0.165,1.139,0.009,0.559,0.507,1.504,0.228,0.389,0.885,0.967,0.822,1.217,1.583,0.854,1.615,0.601,0.539,0.718,1.433,1.077,1.141,0.861,1.117,1.61,0.976,1.459,1.614,1.688,1.383,1.935,1.654,1.629
89,Honduras,HN,HND,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,-0.066,-0.151,-0.277,-0.101,-0.109,-0.074,-0.354,-0.343,0.278,-0.106,-0.181,0.255,0.544,-0.265,0.064,-0.122,0.384,0.281,0.398,0.425,0.077,0.465,0.593,0.084,0.147,0.126,0.375,0.545,0.229,0.33,0.507,0.501,0.212,0.781,0.9,0.12,0.86,1.091,0.451,0.13,0.39,0.804,0.763,0.65,1.127,0.765,0.932,0.709,0.948,0.928,0.843,0.752,1.022,0.778,1.223,1.449,1.095,0.819,1.252,1.853
90,Hungary,HU,HUN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",ECNCIT_dC,Degree Celsius,1.18,-0.414,-0.458,-0.872,-0.879,0.758,0.599,0.388,-0.272,-0.505,-0.062,0.393,-0.031,0.264,0.858,-0.275,0.549,-0.867,0.054,-0.611,0.158,0.116,1.004,-0.14,-1.054,0.374,-0.527,0.405,0.885,1.093,-0.033,0.924,0.086,1.761,0.65,-0.316,-0.125,1.102,0.626,1.764,1.42,1.453,0.74,0.582,0.268,0.723,2.166,1.518,1.637,0.831,0.915,1.755,1.185,2.248,2.103,1.929,1.383,2.579,2.411,2.048
